year,ceremony,category,film_title,winner_raw,winner_clean,speech_clean,snippet_grading,golden_snippet,plot_hint,redacted_speech,distinctiveness
1996,69,Actress in a Leading Role,Fargo,Frances McDormand,Frances McDormand,"FRANCES McDORMAND:
It is impossible to maintain one's composure in this situation.  What am I doing here?  Especially considering the extraordinary group of women with whom I was nominated.  We five women were fortunate to have the choice, not just the opportunity but the choice, to play such rich, complex female characters. And I congratulate producers like Working Title and Polygram for allowing directors to make autonomous casting decisions based on qualifications and not just market value.  And I encourage writers and directors to keep these really interesting female roles coming, and while you're at it you can throw in a few for the men as well.

My family, friends and colleagues here tonight and all around the world, they know exactly who they are, you know who you are.  And I hope you already know how much your support and your care means to me, but I'm gonna name three. The co-writer/director and producer of ""Fargo,"" Mr. Ethan Coen, who helped make an actor of me.  His brother, Mr. Joel Coen, who made a woman of me.  And our moon and our sun, Mr. Pedro McDormand Coen, who has made a real mother of me. Thank you for acknowledging our work.",3,"""""""And I congratulate producers like Working Title and Polygram for allowing directors to make autonomous casting decisions based on qualifications and not just market value. And I encourage writers and directors to keep these really interesting female roles coming, and while you're at it you can throw in a few for the men as well.""""""","A pregnant police officer investigates a series of incidents, some of which are quite unfortunate.","```text
[REDACT: FRANCES McDORMAND]:
It is impossible to maintain one's composure in this situation.  What am I doing here?  Especially considering the extraordinary group of women with whom I was nominated.  We five women were fortunate to have the choice, not just the opportunity but the choice, to play such rich, complex female characters. And I congratulate producers like Working Title and Polygram for allowing directors to make autonomous casting decisions based on qualifications and not just market value.  And I encourage writers and directors to keep these really interesting female roles coming, and while you're at it you can throw in a few for the men as well.

My family, friends and colleagues here tonight and all around the world, they know exactly who they are, you know who you are.  And I hope you already know how much your support and your care means to me, but I'm gonna name three. The co-writer/director and producer of ""[REDACT: Fargo],"" Mr. Ethan Coen, who helped make an actor of me.  His brother, Mr. Joel Coen, who made a woman of me.  And our moon and our sun, Mr. Pedro McDormand Coen, who has made a real mother of me. Thank you for acknowledging our work.
```",4
1996,69,Actress in a Supporting Role,The English Patient,Juliette Binoche,Juliette Binoche,"I'm so surprised.  It's true I didn't prepare anything, I thought Lauren [Bacall] was going to get it.  And I think she deserves it.  Where are you?  I think we all tried our best on this film, and Anthony was there to help us. I'm so amazed.  This is a dream.  It must be a French dream, I think.  Bye.",3,"""""""""I'm so surprised. It's true I didn't prepare anything, I thought Lauren [Bacall] was going to get it. And I think she deserves it. Where are you? I think we all tried our best on this film, and Anthony was there to help us. I'm so amazed. This is a dream. It must be a French dream, I think. Bye.""""""""",A nurse finds that her patient is surprisingly complicated.,"""""""I'm so surprised.  It's true I didn't prepare anything, I thought Lauren [Bacall] was going to get it.  And I think she deserves it.  Where are you?  I think we all tried our best on this film, and Anthony was there to help us. I'm so amazed.  This is a dream.  It must be a French dream, I think.  Bye.""""""",3
1996,69,Directing,The English Patient,Anthony Minghella,Anthony Minghella,"It's my daughter's eighteenth birthday today.  Happy Birthday, Hannah.  And thanks to all my family who put up with me being away for so long.  My wife, who's taught me the meaning of the word ""uxoriousness.""  This belongs to a lot of people whose shoulders I've been standing on for the last four-and-a-half years.  I thank them all, the real International Sand Club, the main directors we called them.  Thanks to all of them.  Thanks to my agents, Michael Peretzian and Judy Daish.  Thanks to the whole crew, to Ralph Fiennes, Kristin Scott Thomas, Willem Dafoe, Juliette, Naveen, Colin, all the people who made this possible.  To Bob and Harvey Weinstein and all the great team at Miramax. Bless you, guys.  Thank you very much indeed.  And thank you, too, to my partner in crime, Saul Zaentz.  It's a great day for the Isle of Wight today. Thank you very much.",3,"""""""My wife, who's taught me the meaning of the word ""uxoriousness.""""""""",A map enthusiast deals with some mild inconveniences while trying to return a borrowed plane.,"""""""It's my daughter's eighteenth birthday today.  Happy Birthday, Hannah.  And thanks to all my family who put up with me being away for so long.  My wife, who's taught me the meaning of the word ""uxoriousness.""  This belongs to a lot of people whose shoulders I've been standing on for the last four-and-a-half years.  I thank them all, the real International Sand Club, the main directors we called them.  Thanks to all of them.  Thanks to my agents, Michael Peretzian and Judy Daish.  Thanks to the whole crew, to Ralph Fiennes, Kristin Scott Thomas, Willem Dafoe, Juliette, Naveen, Colin, all the people who made this possible.  To Bob and Harvey Weinstein and all the great team at Miramax. Bless you, guys.  Thank you very much indeed.  And thank you, too, to my partner in crime, [REDACT: Saul Zaentz].  It's a great day for the Isle of Wight today. Thank you very much.""""""",3
1996,69,Best Picture,The English Patient,"Saul Zaentz, Producer","Saul Zaentz, Producer","I said my cup was full before, now it runneth over.  I'd like to thank actors.  I love actors.  Producers are supposed to not be in love with them, but I love 'em.  And I love writers and directors, too.  Uh, and everyone who worked on, the whole crew, everyone who worked on the picture for what they did in making the picture happen.  When we were shut down, ran out of money, everyone stayed there.  In Italy, without pay.  And we had no money to pay 'em.  And then Harvey and Bob Weinstein came through and financed the picture -- and we had final cut, though.  And all, everyone just who was involved, with all the people at Miramax who were wonderful in working on the picture. But before, I wanna tell one Shakespeare story that I wish I could remember the writer, but I can't.  Uh, Shakespeare, the definition... Shakespeare was defined as an early plagiarizer of Freud.  Okay, I like it.

ANTHONY MINGHELLA:
[To Zaentz:] Thank Michael Ondaatje.

SAUL ZAENTZ:
I want to thank -- no, two others, not to thank but to say one of the best things that's happened to Michael Ondaatje, Anthony and myself, we each made two friends. And Michael's stunning novel just inspired Anthony and then inspired me, and I can't say too much about Michael.  And to Annette, thank you.  To the boys on the corner, Myrtle and Monroe*, and the gang up in Berkeley, thank you all.",3,"""""""But before, I wanna tell one Shakespeare story that I wish I could remember the writer, but I can't.  Uh, Shakespeare, the definition... Shakespeare was defined as an early plagiarizer of Freud.  Okay, I like it.""""""",A tragic love story featuring an unhealthy obsession with maps and poor airplane maintenance.,"""""""I said my cup was full before, now it runneth over.  I'd like to thank actors.  I love actors.  Producers are supposed to not be in love with them, but I love 'em.  And I love writers and directors, too.  Uh, and everyone who worked on, the whole crew, everyone who worked on the picture for what they did in making the picture happen.  When we were shut down, ran out of money, everyone stayed there.  In Italy, without pay.  And we had no money to pay 'em.  And then Harvey and Bob Weinstein came through and financed the picture -- and we had final cut, though.  And all, everyone just who was involved, with all the people at Miramax who were wonderful in working on the picture. But before, I wanna tell one Shakespeare story that I wish I could remember the writer, but I can't.  Uh, Shakespeare, the definition... Shakespeare was defined as an early plagiarizer of Freud.  Okay, I like it.

[REDACT: ANTHONY MINGHELLA]:
[To Zaentz:] Thank Michael Ondaatje.

SAUL ZAENTZ:
I want to thank -- no, two others, not to thank but to say one of the best things that's happened to Michael Ondaatje, [REDACT: Anthony] and myself, we each made two friends. And Michael's stunning novel just inspired [REDACT: Anthony] and then inspired me, and I can't say too much about Michael.  And to Annette, thank you.  To the boys on the corner, Myrtle and Monroe*, and the gang up in Berkeley, thank you all.""""""",3
1996,69,Writing (Adapted Screenplay),Sling Blade,Billy Bob Thornton,Billy Bob Thornton,"Whoa.  Lord, have mercy.  [Loud holler from the audience.]  I know all you guys.  My mom, my wife, my buddy Dwight, who are here.  My little boys, Willie and Harry.  My brothers, John and Jimmy.  Harvey Weinstein, Bob Weinstein, God bless 'em.  Larry Meistrich at The Shooting Gallery.  Miss Elizabeth Taylor and, gosh... and Mick's ballerina.  It's a private joke; I said I'd say it. Anyway, this is a terrific honor and, you know, this is the big one.  What can you say?  To the Academy, all you people who supported everything this year, not just this, and a bunch of great actors and crew people in this movie, God bless you all.  Thanks.",3,"""""""Whoa. Lord, have mercy. [Loud holler from the audience.] I know all you guys. My mom, my wife, my buddy Dwight, who are here. My little boys, Willie and Harry. My brothers, John and Jimmy. Harvey Weinstein, Bob Weinstein, God bless 'em. Larry Meistrich at The Shooting Gallery. Miss Elizabeth Taylor and, gosh... and Mick's ballerina. It's a private joke; I said I'd say it.""""""","A man does some yard work, then faces some fairly difficult tenant-landlord disputes.","""""""Whoa. Lord, have mercy. [Loud holler from the audience.] I know all you guys. My mom, my wife, my buddy Dwight, who are here. My little boys, Willie and Harry. My brothers, John and Jimmy. Harvey Weinstein, Bob Weinstein, God bless 'em. Larry Meistrich at The Shooting Gallery. Miss Elizabeth Taylor and, gosh... and Mick's ballerina. It's a private joke; I said I'd say it. Anyway, this is a terrific honor and, you know, this is the big one. What can you say? To the Academy, all you people who supported everything this year, not just this, and a bunch of great actors and crew people in this movie, God bless you all. Thanks.""""""",3
1996,69,Writing (Original Screenplay),Fargo,"Ethan Coen, Joel Coen","Ethan Coen, Joel Coen","Well, I'd like to thank Michael Kuhn at Polygram and Tim Bevan and Eric Fellner at Working Title, everyone at Working Title, for reading the script and making it into a movie.  I'd like to thank everyone who worked on the movie, everyone over at Mary Zophres' house.  I guess this woke you guys up. And mostly I'd like to thank Frances without whom the part wouldn't have been written, the movie wouldn't have been made, and we wouldn't be standing here.

ETHAN COEN:
I'd like to thank those people, Roger Deakins and John Cameron as well, everybody else who worked on the movie.  And I'd also like to congratulate the other nominees in this category, and Billy Bob [and] the other nominees in that category as well.  It really is nice company.  Thank you.",2,"""""""Well, I'd like to thank Michael Kuhn at Polygram and Tim Bevan and Eric Fellner at Working Title, everyone at Working Title, for reading the script and making it into a movie. I'd like to thank everyone who worked on the movie, everyone over at Mary Zophres' house. I guess this woke you guys up. And mostly I'd like to thank Frances without whom the part wouldn't have been written, the movie wouldn't have been made, and we wouldn't be standing here.""""""","A small business loan goes very, very wrong, to the point where multiple vehicles are involved.","""""""Well, I'd like to thank Michael Kuhn at Polygram and Tim Bevan and Eric Fellner at Working Title, everyone at Working Title, for reading the script and making it into a movie.  I'd like to thank everyone who worked on the movie, everyone over at Mary Zophres' house.  I guess this woke you guys up. And mostly I'd like to thank Frances without whom the part wouldn't have been written, the movie wouldn't have been made, and we wouldn't be standing here.

[REDACT: ETHAN COEN]:
I'd like to thank those people, Roger Deakins and John Cameron as well, everybody else who worked on the movie.  And I'd also like to congratulate the other nominees in this category, and Billy Bob [and] the other nominees in that category as well.  It really is nice company.  Thank you.""""""",2
1997,70,Actor in a Leading Role,As Good as It Gets,Jack Nicholson,Jack Nicholson,"Thank you very much to the members of the Academy for this, and I -- the other nominees, some of them are very good friends of mine.  And I am honored to be on any list with you, Bobby, Dusty, and you and your father, Mr. Damon, my old bike pal Fonda.

We're very proud of the picture.  We had like, I don't know, I've had a sinking feeling all night right up till here.  Something about it.  We had Jim Brooks, Maria Kavanaugh, Kristi Zea, Bridget Johnson, Peter Andros*, Laura Ziskin, so many producers on the picture I can't remember them all.  Mr. Andrus and Mr. Brooks wrote the script, cast Miss Hunt, Mr. Kinnear, Cuba Gooding, Skeet Ulrich, Shirley Knight -- I know Gil Cates is starting to sweat back there, now isn't he, Bill, isn't he?  Go ahead with it?  Alright.  Sure. I would like to thank everybody here tonight for looking so good.  I'd like to dedicate this to Miles Davis, Robert Mitchum, Shorty Smith, Joe Vitrano*, Ray Kramer, Rupert Crosse, J.T. Walsh and Luana Anders.  They're not here anymore, but they're in my heart.  And I thank you very much.",2,"""""""We're very proud of the picture. We had like, I don't know, I've had a sinking feeling all night right up till here. Something about it. We had [REDACT: Jim Brooks], Maria Kavanaugh, Kristi Zea, Bridget Johnson, Peter Andros*, Laura Ziskin, so many producers on the picture I can't remember them all. Mr. Andrus and [REDACT: Mr. Brooks] wrote the script, cast [REDACT: Miss Hunt], [REDACT: Mr. Kinnear], Cuba Gooding, Skeet Ulrich, Shirley Knight -- I know Gil Cates is starting to sweat back there, now isn't he, Bill, isn't he? Go ahead with it? Alright.""""""","A grumpy neighbor eventually learns to tolerate other people's existence, somewhat.","""""""Thank you very much to the members of the Academy for this, and I -- the other nominees, some of them are very good friends of mine. And I am honored to be on any list with you, Bobby, Dusty, and you and your father, Mr. Damon, my old bike pal Fonda.

We're very proud of the picture. We had like, I don't know, I've had a sinking feeling all night right up till here. Something about it. We had [REDACT: Jim Brooks], Maria Kavanaugh, Kristi Zea, Bridget Johnson, Peter Andros*, Laura Ziskin, so many producers on the picture I can't remember them all. Mr. Andrus and [REDACT: Mr. Brooks] wrote the script, cast [REDACT: Miss Hunt], [REDACT: Mr. Kinnear], Cuba Gooding, Skeet Ulrich, Shirley Knight -- I know Gil Cates is starting to sweat back there, now isn't he, Bill, isn't he? Go ahead with it? Alright. Sure. I would like to thank everybody here tonight for looking so good. I'd like to dedicate this to Miles Davis, Robert Mitchum, Shorty Smith, Joe Vitrano*, Ray Kramer, Rupert Crosse, J.T. Walsh and Luana Anders. They're not here anymore, but they're in my heart. And I thank you very much.""""""",4
1997,70,Actor in a Supporting Role,Good Will Hunting,Robin Williams,Robin Williams,"Thank you.  Ah, man!  This might be the one time I'm speechless.  Thank you so much for this incredible honor.  Thank you for putting me in a category with these four extraordinary men.  Thank you, Ben and Matt -- I still want to see some ID.  Thank you, Gus Van Sant, for being so subtle you're almost subliminal.  I want to thank the cast and crew, especially the people of South Boston -- you're a can of corn, you're the best.  I want to thank the Meshpucha Weinstein.  Mazel tov!  And I want to thank Marsha for being the woman who lights my soul on fire every morning.  God bless you.  And most of all, I want to thank my father, up there, the man who when I said I wanted to be an actor, he said, ""Wonderful, just have a back-up profession like welding.""  Thank you.  God bless you.",3,"""""""And most of all, I want to thank my father, up there, the man who when I said I wanted to be an actor, he said, ""Wonderful, just have a back-up profession like welding."" Thank you. God bless you.""""""",A therapist finds that his work is impacting his home life.,"""""""Thank you. Ah, man! This might be the one time I'm speechless. Thank you so much for this incredible honor. Thank you for putting me in a category with these four extraordinary men. Thank you, [REDACT: Ben] and [REDACT: Matt] -- I still want to see some ID. Thank you, Gus Van Sant, for being so subtle you're almost subliminal. I want to thank the cast and crew, especially the people of South Boston -- you're a can of corn, you're the best. I want to thank the Meshpucha Weinstein. Mazel tov! And I want to thank Marsha for being the woman who lights my soul on fire every morning. God bless you. And most of all, I want to thank my father, up there, the man who when I said I wanted to be an actor, he said, ""Wonderful, just have a back-up profession like welding."" Thank you. God bless you.""""""",4
1997,70,Actress in a Leading Role,As Good as It Gets,Helen Hunt,Helen Hunt,"The first time I saw ""Mrs. Brown"" -- saw it three times.  The first time I saw it, I leaned over to my beloved and said, ""She's [Judi Dench] going to win an Academy Award.""  And in my mind tonight she has.  And so has Julie Christie, and so has Helena Bonham Carter, and so has Kate Winslet.  And for that matter so has Billy Connolly, and so has Ben Affleck, and so has Joan Allen.  And I am honored to work in a year when there were so many magnificent performances.

I am here for one reason and that's Jim Brooks.  One single reason, and that's the only reason really.  That's the only reason.  I thank -- I am tired of thanking you -- I thank God for giving me a little piece of you.  Jack, I worship you, you know it.  Greg, I hope you hold in your heart how beautiful your performance in this movie was.  I would like to thank our producers Bridget Johnson, Kristi Zea, Larry Mark.  Everyone at Sony.  The team of experts it took to make me available for this movie.  My acting teachers Lurene Tuttle, wherever you are, Gordon Hunt, Larry Moss, Gary Austin, for giving me a way to learn about myself and the world, and a way to express myself.  I hate to think who I would be without that.  My parents, who are sobbing at this point.  My friends, who are at home jumping up and down.  And you [Hank Azaria], the very, just the very best man I know.  Thank you so much.  This is a magnificent honor.  Thank you very much.",3,"""""""The first time I saw ""Mrs. Brown"" -- saw it three times. The first time I saw it, I leaned over to my beloved and said, ""She's [Judi Dench] going to win an Academy Award."" And in my mind tonight she has. And so has Julie Christie, and so has Helena Bonham Carter, and so has Kate Winslet. And for that matter so has Billy Connolly, and so has Ben Affleck, and so has Joan Allen. And I am honored to work in a year when there were so many magnificent performances.""""""",A waitress finds that some customers are harder to deal with than others.,"""""""The first time I saw ""Mrs. Brown"" -- saw it three times.  The first time I saw it, I leaned over to my beloved and said, ""She's [Judi Dench] going to win an Academy Award.""  And in my mind tonight she has.  And so has Julie Christie, and so has Helena Bonham Carter, and so has Kate Winslet.  And for that matter so has Billy Connolly, and so has Ben Affleck, and so has Joan Allen.  And I am honored to work in a year when there were so many magnificent performances.

I am here for one reason and that's [REDACT: Jim Brooks].  One single reason, and that's the only reason really.  That's the only reason.  I thank -- I am tired of thanking you -- I thank God for giving me a little piece of you.  Jack, I worship you, you know it.  Greg, I hope you hold in your heart how beautiful your performance in [REDACT: this movie] was.  I would like to thank our producers Bridget Johnson, Kristi Zea, Larry Mark.  Everyone at Sony.  The team of experts it took to make me available for [REDACT: this movie].  My acting teachers Lurene Tuttle, wherever you are, Gordon Hunt, Larry Moss, Gary Austin, for giving me a way to learn about myself and the world, and a way to express myself.  I hate to think who I would be without that.  My parents, who are sobbing at this point.  My friends, who are at home jumping up and down.  And you [Hank Azaria], the very, just the very best man I know.  Thank you so much.  This is a magnificent honor.  Thank you very much.""""""",4
1997,70,Actress in a Supporting Role,L.A. Confidential,Kim Basinger,Kim Basinger,"Oh my God!  Thank you!  Thank you!  Thank you!  Wait a minute, we did only get thirty seconds, and to give a thousand thank you's.  I just want to thank everybody I have ever met in my entire life.  Curtis Hanson, Curtis Hanson, Curtis Hanson.  The cast and crew from the movie.  I could not have done this without them.  Annett Wolf, my great friend Georgia, my sister Ashley, my husband Alec, my baby girl Ireland.  If anyone has a dream out there, just know that I am living proof that they do come true.  Thank you so much to the Academy.  I am so grateful for this.  And Daddy, this is for you.",2,"""""""Wait a minute, we did only get thirty seconds, and to give a thousand thank you's. I just want to thank everybody I have ever met in my entire life.""""""",A woman navigates the world of luxury real estate and struggles to find the right work/life balance.,"""""""Oh my God! Thank you! Thank you! Thank you! Wait a minute, we did only get thirty seconds, and to give a thousand thank you's. I just want to thank everybody I have ever met in my entire life. Curtis Hanson, Curtis Hanson, Curtis Hanson. The cast and crew from the movie. I could not have done this without them. Annett Wolf, my great friend Georgia, my sister Ashley, my husband Alec, my baby girl Ireland. If anyone has a dream out there, just know that I am living proof that they do come true. Thank you so much to the Academy. I am so grateful for this. And Daddy, this is for you.""""""",3
1997,70,Directing,Titanic,James Cameron,James Cameron,"I don't know about you but I'm having a really great time.  Every director that ever stood up here had his cast to thank, and I had a killer cast.  They really threw down for me.  So, Kate, Gloria, Leo, Kathy, Frances and Billy, Bill, Suzy, Lewis, and about eighty others, you guys gave me pure gold every day and I share this gold with you.  Everybody else that I was going to thank either got an Oscar or a nomination so they're covered, except for my fellow producers Rae Sanchini and Jon Landau; Josh McLaglen; Rod Lurie; my brother Mike Cameron, who built the deep diving camera system.  My lovely wife Linda, our two beautiful children, Dalton and Josephine.  And my original producers, my parents, who are here tonight, Phillip and Shirley Cameron.  Mom, Dad, there is no way that I can express to you what I'm feeling right now, my heart is full to bursting, except to say, ""I'm the king of the world!""",5,"""""""I don't know about you but I'm having a really great time.... Mom, Dad, there is no way that I can express to you what I'm feeling right now, my heart is full to bursting, except to say, ""I'm the king of the world!""""""""""",A work retreat goes horribly wrong due to unforeseen plumbing issues.,"""""""I don't know about you but I'm having a really great time. Every director that ever stood up here had his cast to thank, and I had a killer cast. They really threw down for me. So, [REDACT: Kate], Gloria, [REDACT: Leo], [REDACT: Kathy], Frances and Billy, Bill, Suzy, Lewis, and about eighty others, you guys gave me pure gold every day and I share this gold with you. Everybody else that I was going to thank either got an Oscar or a nomination so they're covered, except for my fellow producers Rae Sanchini and Jon Landau; Josh McLaglen; Rod Lurie; my brother Mike Cameron, who built the deep diving camera system. My lovely wife Linda, our two beautiful children, Dalton and Josephine. And my original producers, my parents, who are here tonight, Phillip and Shirley Cameron. Mom, Dad, there is no way that I can express to you what I'm feeling right now, my heart is full to bursting, except to say, ""I'm the king of the world!""""""""",4
1997,70,Best Picture,Titanic,"James Cameron and Jon Landau, Producers","James Cameron and Jon Landau, Producers","So this morning I woke up and couldn't wait for the day to be over.  Now I don't want it to stop.  I can't act and I can't compose and I can't do visual effects, so I guess that's why I'm producing.  But I have a lot of people that I have to thank on behalf of both Jim and myself.  I want to thank all the nominees here this evening, and all the people that again they've already thanked.  Our incredible cast, we would not be here without you.  My wife Julie, my sons Jamie and Jody.  Rae Sanchini, who is absolutely one of the best people in this industry.  My mom and dad, Edie and Ely.  And now a run through our quick list of credits here:  Josh McLaglen, Mali Finn, Gig Rackauskas, Simon Crane, Jimmy Muro, John Buckley, Lloyd Moriarity, Charles Lee, Martin Laing, Roger Barton, Charlie Arneson, Steve Quayle, Kevin De LaNoy, Lance Julian, Roger Hanna, Tommy Gordon, Les Collins, Tony Graysmark, Doug Fenton, Harry Heeks, Randy Gerston, Grant Hill, Sharon Mann and Anna Roth.  This movie would not have been made except for the conviction and belief of Peter Chernin, Bill Mechanic, Tom Sherak, Jim Gianopulos, Tom Rothman, Sanford Panitch, Vicki Rossellini, Ted Gagliano, Mike Jenkinson, Jim Darbirian, Hilary Clark*, Jon Dolgen, Sherry Lansing, Rob Friedman, John Goldwyn, Arthur Cohen, Wayne Lewellen, Nancy Goliger, Blaise Noto, Greg Brilliant, John Rentsch, Allison Jackson, Maren Moebius, and Steve Panama*. We would not be here without an incredible screenwriter who wrote a great script, Jim Cameron.

JIM CAMERON:
I think Jon saw ""Shine"" too many times.  He thanked everybody and did everything I was going to say.  And my eyes are still sort of doing pinwheels from the last one, so I just want to say a couple of things.  We're here tonight to celebrate the magic of movies.  And I'm grateful every day to get to be a part of that magic and a practitioner in it, and I love it.  And tonight has been such a great celebration for us.  And it seems to somehow express this strange wave that's happened with ""Titanic,"" where people all over the world have opened their hearts to this movie.  And that's so gratifying to all of us that worked on it and we'll be forever grateful to them, the audience, and I know a lot of you are watching at home.

In the midst of all this euphoria, it's kind of hard for us to remember that this euphoria and the success is for a film that's based on a real event that happened, where real people died, that shocked the world in 1912.  So I'd just like everybody to go with me just for a second on something here.  I'd like to do a few seconds of silence in remembrance of the 1,500 men, women and children who died when the great ship died.  The message of ""Titanic"" of course is, that if the great ship can sink, the unthinkable can happen, the future is unknowable, the only thing that we truly own is today.  Life is precious.  So during these few seconds I'd like you to also listen to the beating of your own heart which is the most precious thing in the world.  Join me please in a few seconds of silence for ""Titanic"" . . . . Thank you very much. That's about as much as I'm sure Gil Cates can stand.  All right, you've really made this a night to remember in every way.  Now let's go party till dawn.",3,"""""""In the midst of all this euphoria, it's kind of hard for us to remember that this euphoria and the success is for a film that's based on a real event that happened, where real people died, that shocked the world in 1912. So I'd just like everybody to go with me just for a second on something here. I'd like to do a few seconds of silence in remembrance of the 1,500 men, women and children who died when the great ship died. The message of ""[REDACT: Titanic]"" of course is, that if the great ship can sink, the unthinkable can happen, the future is unknowable, the only thing that we truly own is today. Life is precious. So during these few seconds I'd like you to also listen to the beating of your own heart which is the most precious thing in the world. Join me please in a few seconds of silence for ""[REDACT: Titanic]"" . . . . Thank you very much.""""""","Two people from different backgrounds meet on a cruise, and one of them has a fairly serious wardrobe malfunction.","""""""So this morning I woke up and couldn't wait for the day to be over.  Now I don't want it to stop.  I can't act and I can't compose and I can't do visual effects, so I guess that's why I'm producing.  But I have a lot of people that I have to thank on behalf of both [REDACT: Jim] and myself.  I want to thank all the nominees here this evening, and all the people that again they've already thanked.  Our incredible cast, we would not be here without you.  My wife Julie, my sons Jamie and Jody.  Rae Sanchini, who is absolutely one of the best people in this industry.  My mom and dad, Edie and Ely.  And now a run through our quick list of credits here:  Josh McLaglen, Mali Finn, Gig Rackauskas, Simon Crane, Jimmy Muro, John Buckley, Lloyd Moriarity, Charles Lee, Martin Laing, Roger Barton, Charlie Arneson, Steve Quayle, Kevin De LaNoy, Lance Julian, Roger Hanna, Tommy Gordon, Les Collins, Tony Graysmark, Doug Fenton, Harry Heeks, Randy Gerston, Grant Hill, Sharon Mann and Anna Roth.  This movie would not have been made except for the conviction and belief of Peter Chernin, Bill Mechanic, Tom Sherak, [REDACT: Jim Gianopulos], Tom Rothman, Sanford Panitch, Vicki Rossellini, Ted Gagliano, Mike Jenkinson, [REDACT: Jim Darbirian], Hilary Clark*, Jon Dolgen, Sherry Lansing, Rob Friedman, John Goldwyn, Arthur Cohen, Wayne Lewellen, Nancy Goliger, Blaise Noto, Greg Brilliant, John Rentsch, Allison Jackson, Maren Moebius, and Steve Panama*. We would not be here without an incredible screenwriter who wrote a great script, [REDACT: Jim Cameron].

[REDACT: JIM CAMERON]:
I think Jon saw ""Shine"" too many times.  He thanked everybody and did everything I was going to say.  And my eyes are still sort of doing pinwheels from the last one, so I just want to say a couple of things.  We're here tonight to celebrate the magic of movies.  And I'm grateful every day to get to be a part of that magic and a practitioner in it, and I love it.  And tonight has been such a great celebration for us.  And it seems to somehow express this strange wave that's happened with ""[REDACT: Titanic],"" where people all over the world have opened their hearts to this movie.  And that's so gratifying to all of us that worked on it and we'll be forever grateful to them, the audience, and I know a lot of you are watching at home.

In the midst of all this euphoria, it's kind of hard for us to remember that this euphoria and the success is for a film that's based on a real event that happened, where real people died, that shocked the world in 1912.  So I'd just like everybody to go with me just for a second on something here.  I'd like to do a few seconds of silence in remembrance of the 1,500 men, women and children who died when the great ship died.  The message of ""[REDACT: Titanic]"" of course is, that if the great ship can sink, the unthinkable can happen, the future is unknowable, the only thing that we truly own is today.  Life is precious.  So during these few seconds I'd like you to also listen to the beating of your own heart which is the most precious thing in the world.  Join me please in a few seconds of silence for ""[REDACT: Titanic]"" . . . . Thank you very much. That's about as much as I'm sure Gil Cates can stand.  All right, you've really made this a night to remember in every way.  Now let's go party till dawn.""""""",4
1997,70,Writing (Adapted Screenplay),L.A. Confidential,"Brian Helgeland, Curtis Hanson","Brian Helgeland, Curtis Hanson","My sons relentlessly play with action figures at home and I am constantly left out, and that's all going to end tonight because I'm bringing this guy home.  And just for Kansas City tonight, this is from now on going to be called an ""Ellroy"" in my house.  Thank you very much.

CURTIS HANSON:
To be handed this by two actors whom I will always associate with Billy Wilder makes it all the sweeter.  I want to acknowledge James Ellroy, who wrote the novel which was our inspiration and our challenge.  A screenplay is just words on paper.  We had an extraordinary ensemble of actors in ""L.A. Confidential"" who took our lines, gave them emotion, humor, life.  I want to thank the Academy for this Oscar.  And I want to thank the actors of ""L.A. Confidential"" for making Brian and me look so good.  Thank you.",3,"""""""My sons relentlessly play with action figures at home and I am constantly left out, and that's all going to end tonight because I'm bringing this guy home. And just for Kansas City tonight, this is from now on going to be called an ""Ellroy"" in my house.""""""",Some ambitious HR managers attempt to implement a zero-tolerance policy with explosive results.,"""""""My sons relentlessly play with action figures at home and I am constantly left out, and that's all going to end tonight because I'm bringing this guy home.  And just for Kansas City tonight, this is from now on going to be called an ""Ellroy"" in my house.  Thank you very much.

[REDACT: CURTIS HANSON]:
To be handed this by two actors whom I will always associate with Billy Wilder makes it all the sweeter.  I want to acknowledge James Ellroy, who wrote the novel which was our inspiration and our challenge.  A screenplay is just words on paper.  We had an extraordinary ensemble of actors in ""[REDACT: L.A. Confidential]"" who took our lines, gave them emotion, humor, life.  I want to thank the Academy for this Oscar.  And I want to thank the actors of ""[REDACT: L.A. Confidential]"" for making Brian and me look so good.  Thank you.""""""",4
